user_id,date,category,amount
1,2026-01-01,Food,500
1,2026-01-02,Transport,200
1,2026-01-03,Shopping,1500
1,2026-01-04,Bills,800
1,2026-01-05,Food,600
2,2026-01-01,Food,400
2,2026-01-02,Shopping,2000
2,2026-01-03,Transport,300
2,2026-01-04,Bills,1000
2,2026-01-05,Food,350
3,2026-01-01,Entertainment,700
3,2026-01-02,Food,500
3,2026-01-03,Shopping,2500
3,2026-01-04,Transport,200
3,2026-01-05,Bills,1200
4,2026-01-01,Food,450
4,2026-01-02,Shopping,1800
4,2026-01-03,Transport,300
4,2026-01-04,Bills,900
4,2026-01-05,Entertainment,1000
5,2026-01-01,Food,6000
5,2026-01-02,Shopping,7000
5,2026-01-03,Transport,500
5,2026-01-04,Bills,2000
5,2026-01-05,Entertainment,3000
1,2026-02-01,Food,550
1,2026-02-02,Transport,220
1,2026-02-03,Shopping,1600
1,2026-02-04,Bills,850
1,2026-02-05,Food,620
2,2026-02-01,Food,420
2,2026-02-02,Shopping,2100
2,2026-02-03,Transport,310
2,2026-02-04,Bills,1100
2,2026-02-05,Food,360
3,2026-02-01,Entertainment,750
3,2026-02-02,Food,520
3,2026-02-03,Shopping,2600
3,2026-02-04,Transport,210
3,2026-02-05,Bills,1300
4,2026-02-01,Food,480
4,2026-02-02,Shopping,1900
4,2026-02-03,Transport,320
4,2026-02-04,Bills,950
4,2026-02-05,Entertainment,1100
5,2026-02-01,Food,6500
5,2026-02-02,Shopping,7200
5,2026-02-03,Transport,550
5,2026-02-04,Bills,2100
5,2026-02-05,Entertainment,3200
