Log_ID,Date,Time,Building,Floor,Room,Device_ID,Energy_Consumed_kWh,Voltage,Current,Temperature_C,Humidity_Percent,Status
1001,2026-06-01,08:00,Building A,1,R101,DV001,12.5,230,5.2,28.5,60,Active
1002,2026-06-01,09:00,Building A,1,R102,DV002,10.8,229,5.0,29.0,58,Active
1003,2026-06-01,10:00,Building A,2,R201,DV003,14.2,231,5.6,30.1,57,Active
1004,2026-06-01,11:00,Building B,1,R103,DV004,8.9,228,4.8,27.8,61,Idle
1005,2026-06-01,12:00,Building B,2,R202,DV005,15.3,232,5.9,31.0,55,Active
1006,2026-06-02,08:00,Building A,1,R101,DV001,11.8,230,5.1,28.7,59,Active
1007,2026-06-02,09:00,Building A,1,R102,DV002,9.7,229,4.9,28.9,60,Idle
1008,2026-06-02,10:00,Building A,2,R201,DV003,13.9,231,5.5,30.3,56,Active
1009,2026-06-02,11:00,Building B,1,R103,DV004,9.2,228,4.7,27.9,62,Active
1010,2026-06-02,12:00,Building B,2,R202,DV005,16.1,232,6.0,31.2,54,Active
1011,2026-06-03,08:00,Building A,1,R101,DV001,12.1,230,5.2,28.8,60,Active
1012,2026-06-03,09:00,Building A,1,R102,DV002,10.2,229,5.0,29.1,58,Idle
1013,2026-06-03,10:00,Building A,2,R201,DV003,14.8,231,5.7,30.4,57,Active
1014,2026-06-03,11:00,Building B,1,R103,DV004,9.5,228,4.8,28.0,61,Active
1015,2026-06-03,12:00,Building B,2,R202,DV005,15.9,232,6.1,31.5,55,Active
1016,2026-06-04,08:00,Building A,1,R101,DV001,11.4,230,5.0,28.4,59,Idle
1017,2026-06-04,09:00,Building A,1,R102,DV002,10.5,229,5.1,29.2,58,Active
1018,2026-06-04,10:00,Building A,2,R201,DV003,13.5,231,5.4,30.0,56,Active
1019,2026-06-04,11:00,Building B,1,R103,DV004,8.7,228,4.6,27.7,63,Idle
1020,2026-06-04,12:00,Building B,2,R202,DV005,16.4,232,6.2,31.6,54,Active
1021,2026-06-05,08:00,Building A,1,R101,DV001,12.9,230,5.3,28.9,60,Active
1022,2026-06-05,09:00,Building A,1,R102,DV002,11.0,229,5.2,29.3,57,Active
1023,2026-06-05,10:00,Building A,2,R201,DV003,14.5,231,5.8,30.5,56,Active
1024,2026-06-05,11:00,Building B,1,R103,DV004,9.0,228,4.8,28.1,62,Idle
1025,2026-06-05,12:00,Building B,2,R202,DV005,16.8,232,6.3,31.7,53,Active
